t,sector,dataType,value
3,3,price,116.46304
3,3,productionValue,338443.0
3,3,productionVolume,2906.0115
3,3,productDestruction,NA
3,3,sectorSize,82.0
3,3,speed,0.074250005
3,3,unsoldVolume,NA
3,3,unsoldVolumePositif,NA
3,4,consumptionBudget,3802468.0
3,4,consumptionValue,NA
3,4,consumptionVolume,NA
3,4,laborUsed,NA
3,4,maxPrice,NA
3,4,minPrice,NA
3,4,price,116.46304
3,4,productionValue,171896.36
3,4,productionVolume,1475.9734
3,4,productDestruction,NA
3,4,sectorSize,45.0
3,4,speed,0.074250005
3,4,unsoldVolume,NA
3,4,unsoldVolumePositif,NA
3,5,consumptionBudget,1907930.9
3,5,consumptionValue,NA
3,5,consumptionVolume,NA
3,5,laborUsed,NA
3,5,maxPrice,NA
3,5,minPrice,NA
3,5,price,85.08878
3,5,productionValue,2685614.0
3,5,productionVolume,31562.469
3,5,productDestruction,NA
3,5,sectorSize,518.0
3,5,speed,-0.074250005
3,5,unsoldVolume,NA
3,5,unsoldVolumePositif,NA
3,6,consumptionBudget,4119479.2
3,6,consumptionValue,NA
3,6,consumptionVolume,NA
3,6,laborUsed,NA
3,6,maxPrice,NA
3,6,minPrice,NA
3,6,price,116.46304
3,6,productionValue,1152386.8
3,6,productionVolume,9894.876
3,6,productDestruction,NA
3,6,sectorSize,245.0
3,6,speed,0.074250005
3,6,unsoldVolume,NA
3,6,unsoldVolumePositif,NA
3,7,consumptionBudget,3999751.0
3,7,consumptionValue,NA
3,7,consumptionVolume,NA
3,7,laborUsed,NA
3,7,maxPrice,NA
3,7,minPrice,NA
3,7,price,85.08878
3,7,productionValue,1.1606581E7
3,7,productionVolume,136405.62
3,7,productDestruction,NA
3,7,sectorSize,1836.0
3,7,speed,-0.074250005
3,7,unsoldVolume,NA
3,7,unsoldVolumePositif,NA
3,8,consumptionBudget,2596471.5
3,8,consumptionValue,NA
3,8,consumptionVolume,NA
3,8,laborUsed,NA
3,8,maxPrice,NA
3,8,minPrice,NA
3,8,price,116.46304
3,8,productionValue,418700.0
3,8,productionVolume,3595.132
3,8,productDestruction,NA
3,8,sectorSize,100.0
3,8,speed,0.074250005
3,8,unsoldVolume,NA
3,8,unsoldVolumePositif,NA
3,9,consumptionBudget,4059882.5
3,9,consumptionValue,NA
3,9,consumptionVolume,NA
3,9,laborUsed,NA
3,9,maxPrice,NA
3,9,minPrice,NA
3,9,price,116.46304
3,9,productionValue,0.0
3,9,productionVolume,0.0
3,9,productDestruction,NA
3,9,sectorSize,0.0
3,9,speed,0.074250005
3,9,unsoldVolume,NA
3,9,unsoldVolumePositif,NA
3,10,consumptionBudget,771734.94
3,10,consumptionValue,NA
3,10,consumptionVolume,NA
3,10,laborUsed,NA
3,10,maxPrice,NA
3,10,minPrice,NA
3,10,price,85.08878
